Monday;ორშაბათი
Tuesday;სამშაბათი
Wednesday;ოთხშაბათი
Thursday;ხუთშაბათი
Friday;პარასკევი
Saturday;შაბათი
Sunday;კვირა
day;დღე
today;დღეს
weekend;შაბათკვირა
tomorrow;ხვალ
yesterday;გუშინ
month;თვე
year;წელი
morning;დილა
afternoon;შუადღე
evening;საღამო
night;ღამე
January;იანვარი
February;თებერვალი
March;მარტი
April;აპრილი
May;მაისი
June;ივნისი
July;ივლისი
August;აგვისტო
September;სექტემბერი
October;ოქტომბერი
November;ნოემბერი
December;დეკემბერი
winter;ზამთარი
spring;გაზაფხული
summer;ზაფხული
fall;შემოდგომა
seasons;სეზონები
time;დრო
clock/hour;საათი
every day;ყოველდღე
always;ყოველთვის
usually;ჩვეულებრივ
often;ხშირად
rarely;იშვიათად
sometimes;ზოგჯერ
many times;ბევრჯერ
never;არასდროს
after;შემდეგ
before;ადრე
now;ახლა
again;ისევ
last;ბოლო
since;წლიდან
first;პირველი
second;მეორე
third;მესამე
quickly;ჩქარა
soon/promptly;მალე
slowly;ნელა
time (duration);ხანი
in front/ago;წინ
free time;თავისუფალი დრო
personal time;პირადი დრო
earlier/formerly;წინათ
at that time;იმ დროს
then;მაშინ
in ancient times;ძველად
last year;შარშან
two years ago;შარშანწინ
